title,content,date,label,news_id
2년 끈 'R2M 소송'서 엔씨 승소…MMORPG 베끼기 관행에 경종(종합)," (서울=연합뉴스) 김주환 기자 = 웹젠[069080]의 'R2M'이 엔씨소프트[036570]의 '리니지M'을 모방했다는 취지의 1심 판결이 나오면서 게임 업계의 고질적인 다중접속역할수행게임(MMORPG) 베끼기 관행에 경고음을 울렸다. 서울중앙지법 민사합의61부는 18일 엔씨소프트가 웹젠을 상대로 낸 저작권 침해 중지 등 청구 소송을 원고 승소로 판결하고 ""R2M 이름으로 제공되는 게임을 일반 사용자들에게 사용하게 하거나 이를 선전·광고·복제·배포·전송·번안해서는 안 된다""고 판시했다. ◇ 엔씨 ""R2M, 리니지M 시스템 그대로 베껴"" vs 웹젠 ""게임 규칙은 보호 대상 아냐"" 이는 엔씨소프트가 2021년 6월 웹젠의 'R2M'이 자사의 '리니지M'을 표절했다며 민사소송을 제기한 지 약 2년 2개월만에 나온 판결이다. 소송의 최대 쟁점은 게임의 고유한 시스템이 저작권법상 보호 대상에 해당하는지였다. 변론기일에서  ...중략...",20230818,경제/정책,news_1
4대그룹 '전경련 재가입' 물꼬…실질적 합류까진 시일 걸릴 듯(종합)," (서울=연합뉴스) 장하나 임기창 차대운 기자 = 삼성 준법감시위원회(준감위)가 18일 삼성의 전국경제인연합회(전경련) 재가입 문제와 관련해 '정경유착 발생 시 즉시 탈퇴'를 권고하면서 국정농단 사태를 계기로 전경련을 탈퇴한 4대 그룹(삼성·SK·현대자동차·LG)의 재합류가 한층 더 가시화했다. 삼성 준감위는 전경련 재가입에 대해선 삼성 경영진·이사진이 결정할 몫이라고 밝혔지만, 재계 안팎에서는 권고를 내놓은 것 자체가 재가입을 전제로 한 '조건부 승인'이 아니냐는 해석이 적지 않다. 동시에 삼성 준감위는 전경련이 과거 문제가 됐던 정경유착 우려를 완전히 해소하지는 못했다는 평가도 내놓았다. SK, 현대차, LG 등 다른 그룹들도 삼성 준감위가 이날 내놓은 입장과 크게 다르지 않다. 따라서 형식적으로는 전경련에 재가입하는 모양새를 취하지만, 실질적인 합류까지는 다소 시일이 걸릴 전망이다. 일단 오는 22일 전경련 총회에서 한국경제인협회(한경협)로의 명칭 변경과 전경련 산하 ...중략...",20230818,경제/정책,news_2
"새마을금고 경영혁신위 첫 회의…""위기 속 교훈 얻어야""", (서울=연합뉴스) 임수정 기자 = 새마을금고중앙회가 18일 '1차 경영혁신위원회'를 열어 건전성 제고 등 주요 추진 과제 ...중략...,20230818,경제/정책,news_3
[연합뉴스 이 시각 헤드라인] - 18:00," ■ 이동관, 文정부때 언론사 적폐청산위에 ""홍위병 운동과 유사"" 이동관 방송통신위원장 후보자는 전임 문재인 정부 시절 공영언론사에 설치된 이른바 '적폐청산위원회' 성격의 위원회들에 대해 ""이른바 '홍위병 운동'과 유사한 성격이라고 생각한다""고 평가했다. 이 후보자는 이날 국회 인사청문회에서 이같이 밝히고 ""막후에 누가 있었는지, 누가 지휘하는 보이지 않는 손인지 사실은 알고 있지만 드러나지 않았을 뿐이다. 그것이 점차 모습을 드러내리라 생각한다""고 덧붙였다. 이 후보자가 예로 든 '홍위병'이란 중국 문화혁명 초기에 마오쩌둥의 이념을 선전·선동을 통해 관철하고자 조직한 학생 전위대이자 준군사 조직이다. 자신들에게 맞서거나 비판하는 지식인, 교사, 지역 지도자 등을 인민재판으로 처형하고 문화재와 고전을 불태우는 등 급진적이고 폭력적인 행태를 보였다. 전문보기: https://www.yna.co.kr/view/AKR20230818101751017 ■ 검찰, 이재명 조사결과 분석…'사실관계 불일치·모순' 판단 '백현동 개발사업 특혜 의혹'을 수사하는 검찰이 더불어민주당 이재명 대표 소환조사를 한 차례로 마무리하고 구속영장 청구 여부를 결정하기 위한 검토에 들어갈 전망이다. 18일 법조계에 따르면 서울중앙지검 반부패수사1부(엄희준 부장검사)는 전날부터 13시간 넘게 진행한 이 대표의 특정경제범죄가중처벌법상 배임 등 혐의 조사 내용을 분석하고 ...중략...",20230818,경제/정책,news_4
"태안군, 자매도시 중국 타이안시와 교류 협력 확대", (태안=연합뉴스) 정찬욱 기자 = 충남 태안군은 18일 군청 소회의실에서 자매도시인 중국 산둥성(山東省) 타이안(泰安)시와 '우호 교류 협력 증진 협약'을 하고 경제·문화·관광·교육·체육 등 다양한 분야에서 교류 협력을  ...중략...,20230818,경제/정책,news_5
"신동익 전 대사, OECD 원자력기구 고위급그룹 위원 선임"," (서울=연합뉴스) 나확진 기자 = 신동익 전 주오스트리아 대사 겸 주빈국제기구대표부 대사가 경제협력개발기구(OECD) 산하 원자력기구(NEA)가 올해 신설한 '이해관계자 참여, 신뢰, ...중략...",20230818,경제/정책,news_6
"BNK부산·경남은행, 장기 근무자 70여 명 인사 단행", (부산=연합뉴스) 조정호 기자 = BNK금융그룹 자회사인 부산은행과 경남은행이 장기 근무자를 대상으로 인사를 단행했다. 이번 인사는 경남은행에서 발생한 500억원대 횡령 사건과 관련해 금융사고 재발 방지 차원에서 동일 업무 장기 근무자를 대상으로 전격적으로 이뤄졌다. BNK금융그룹은 18일 오후 ...중략...,20230818,경제/정책,news_7
"부산항만공사, 미니 소방펌프차 활용 선박 화재 훈련", (부산=연합뉴스) 조정호 기자 = 부산항만공사(BPA)는 18일 감천항에서 미니 소방차를 활용한 선박화재 훈련을 했다고 밝혔다. 미니 소방차 ...중략...,20230818,경제/정책,news_8
"웹툰협회, 3월 11일 '한국 만화·웹툰 저작권의 날' 지정 추진"," (서울=연합뉴스) 김경윤 기자 = 1990년대 인기 만화 '검정고무신' 저작권 관련 분쟁 도중 세상을 등진 고(故) 이우영 작가를 기리기 위해 '한국 만화·웹툰 저작권의 날'을 만들자는 만화계의 제언이 나왔다. 사단법인 웹툰협회는 18일 ""'한국 만화·웹툰 저작권의 날' 지정을 제안한다""며 이 작가가 세상을 달리한 3월 11일마다 그 뜻을 기리자고 촉구했다. 협회는 "" ...중략...",20230818,경제/정책,news_9
"중국, 제주에 실크로드 관광도시 연맹 가입 제안"," (제주=연합뉴스) 고성식 기자 = 한국에 대한 중국 단체 관광이 재개된 가운데 중국 정부 관계자가 제주에 중국이 추진하는 국제 관광 연맹 가입을 제안했다.  제주도에 따르면 오영훈 제주지사는 18일 중국 베이징 문화여유부 접견실에서 루잉촨 문화여유부 부부장과 만나 양 지역의 교류·협력 활성화 방안을 모색했다.  이 자리에서 루잉촨 부부장은 ""중국문화여유부 소속 센터에서 실크로드 관광도시 연맹을 제창하고 설립했다""며 ""실크로드 연안 도시 간 관 ...중략...",20230818,경제/정책,news_10
"재세능원, 양극재 생산 충주2공장 기공…내년 하반기 준공", (충주=연합뉴스) 김형우 기자 = 이차전지 양극재 제조기업인재세능원이 18일 충북 충주메가폴리스산업단지 내 외국인 투자지역에서 제2공장(건축 연 ...중략...,20230818,경제/정책,news_11
2년 끈 'R2M 표절소송'서 엔씨 승소…MMORPG 베끼기 관행에 경종," (서울=연합뉴스) 김주환 기자 = 웹젠[069080]의 'R2M'이 엔씨소프트[036570]의 '리니지M'을 표절했다는 취지의 1심 판결이 나오면서 게임 업계의 고질적인 다중접속역할수행게임(MMORPG) 베끼기 관행에 경고음을 울렸다. 서울중앙지법 민사합의61부는 18일 엔씨소프트가 웹젠을 상대로 낸 저작권 침해 중지 등 청구 소송을 원고 승소로 판결하고 ""R2M 이름으로 제공되는 게임을 사용하게 하거나 선전·광고·복제·배포·전송 등을 해서는 안 된다""고 판시했다. ◇ 엔씨 ""R2M, 리니지M 시스템 그대로 베껴"" vs 웹젠 ""게임 규칙은 보호 대상 아냐"" 이는 엔씨소프트가 2021년 6월 웹젠의 'R2M'이 자사의 '리니지M'을 표절했다며 민사소송을 제기한 지 약 2년 2개월만에 나온 판결이다. 소송의 최 ...중략...",20230818,경제/정책,news_12
"목포수협-목포과학대, '수산 인재 양성' 협약", (목포=연합뉴스) 조근영 기자 = 목포수협은 18일 목포과학대학교와 수산업 발전을 위한 우수 인재 양성을 위한 업무협약(MOU)을 했다. 김청 ...중략...,20230818,경제/정책,news_13
"포스코, 인도네시아 계열사 주식 8천881억원에 취득…지분율 50%", (서울=연합뉴스) 코스피 상장사 포스코홀딩스[005490]는 종속회사인 포스코가 인도네시아의 철강재 생산과 판매 등 계열사(PT.Krakatau POSCO)의  ...중략...,20230818,경제/정책,news_14
"영암군체육회, 체육 꿈나무 육성 지원 사업 편다", (영암=연합뉴스) 조근영 기자 = 전남 영암군 체육회(회장 이봉영)가 지역 체육 꿈나무 육성 사업을 편다. 영암군 체육회는 18일 케이삼흥그룹(회장 김현재)과 체육 꿈나무 육성 지원 사업을 위한 업무협약(MOU)을 했다. 이봉영 영암군체육회 회장의 민선 2기 공약인 이 사업은 영암이 고향인 김현 ...중략...,20230818,경제/정책,news_15
"[특징주] 에코프로 그룹주, 이동채 전 회장 실형 확정에 하락", (서울=연합뉴스) 홍유담 기자 = 이동채 전 에코프로그룹 회장의 실형이 확정되자 18일 에코프로그룹 종목들의 주가가 일제히 하락했다. 이날 에코프로[086520]는 전 거래일 대비 3.41% 내린 107만6천원에 거래를 마쳤다. 에코프로비엠[247540] ...중략...,20230818,경제/정책,news_16
